,Source,Compound,Negative,Neutral,Positive,Time,Tweet Text
41,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 13:00:17 +0000 2018,@ktheffect_ @sinandolayman @Yusuf__Tekin @bangtantr @BTSTurkey @LGBTTAileGrubu @BTSfanpage_x_tr @istanbulLGBT… https://t.co/NfdhYszgA5
42,@BBC,-0.6808,0.237,0.763,0.0,Mon Apr 02 13:00:09 +0000 2018,RT @kishkushkay: Videos that show how Palestinians stage fake deaths to smear Israel in the media @SkyNews @CNN @BBC https://t.co/8hOraGeCy2
43,@BBC,-0.4497,0.18,0.82,0.0,Mon Apr 02 12:59:39 +0000 2018,"RT @SamLJPage: @CharlesTannock @ObiWokKanobe Pro-Brexit MEPs are amongst the laziest in the #EU  Parliament. No British pro-EU MEPs, but 35…"
44,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:59:17 +0000 2018,RT @inabster: @eddiesurfs @TheSun @meNabster @guardian @UKLabour By owning the UK Government he owns the @BBC #Murdoch 🤓🐸🤪👿🐍
45,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:58:49 +0000 2018,RT @BBC: Our favourite #AprilFoolsDay was when spaghetti grew on trees in 1957. https://t.co/qRGuM9NnRZ
46,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:58:48 +0000 2018,@ktheffect_ @sinandolayman @Yusuf__Tekin @bangtantr @BTSTurkey @LGBTTAileGrubu @BTSfanpage_x_tr @istanbulLGBT… https://t.co/kW2a1y9Ewz
47,@BBC,-0.296,0.081,0.919,0.0,Mon Apr 02 12:58:19 +0000 2018,"RT @J_star500: This is the standard of the #UK national broadcaster. It no longer even tries to be accurate, all the while sucking at the t…"
48,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:57:52 +0000 2018,RT @BBC: Our favourite #AprilFoolsDay was when spaghetti grew on trees in 1957. https://t.co/qRGuM9NnRZ
49,@BBC,0.5106,0.0,0.842,0.158,Mon Apr 02 12:57:18 +0000 2018,RT @tvlicensingblog: Mel and Sue playing phallic games in The Generation Game. The last time there were scenes like this @bbc it was in a T…
50,@BBC,-0.5945,0.224,0.692,0.084,Mon Apr 02 12:57:01 +0000 2018,RT @Shelaco: Those who've supported terrorists in Syria - the so called 'moderate rebels' should also be subjected to the 'middle finger' a…
51,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:56:55 +0000 2018,.@BBCNews @BBC @10DowningStreet @GOVUK https://t.co/oDyTHfjeCD
52,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:56:50 +0000 2018,RT @G_Pen168: @Gareth91882603 @Bobilly10 These stories will never be carried on our MSM because from the @BBC to the highest order they are…
53,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:56:43 +0000 2018,@lancastrian14 @wendmyway @BoronutJohn @Stephenge3978 @bbcnickrobinson @BBCNews @BBC Corbyn gets zilch in the way o… https://t.co/hu05wMF5qc
54,@BBC,-0.5994,0.14,0.86,0.0,Mon Apr 02 12:56:40 +0000 2018,RT @ClarkeMicah: That would be normal. @BBC's promotion of civil war in Syria and its one-sided reporting of it when it achieved it is a de…
55,@BBC,0.5106,0.0,0.83,0.17,Mon Apr 02 12:56:33 +0000 2018,Mel and Sue playing phallic games in The Generation Game. The last time there were scenes like this @bbc it was in… https://t.co/k7gMRaf0Bu
56,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:56:11 +0000 2018,@xpressanny @Andrew_Adonis @Conservatives @Channel4News @BBCNews @BBCOne @BBCTwo @bbcthree @BBCFOUR @BBC… https://t.co/fLhS1OGOVA
57,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:55:41 +0000 2018,What about non-binary people @BBC ? https://t.co/qnAJzLi3ii
58,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:55:39 +0000 2018,"RT @AWAKEALERT: Max Keiser quit @BBC because he got strict orders 
""NOT TO MENTION #ISRAEL IN ANY CONTEXT""
""This kind of censorship leads t…"
59,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:55:35 +0000 2018,Israel scraps African migrant deportation plan https://t.co/QAczrzMK9q [@BBC]
60,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:54:58 +0000 2018,@remain_central @patrickcherry @BBC @BBCNews Minford was introduced by Nicky Campbell on Radio 5 Live as a World Tr… https://t.co/RTEEVAzGOv
61,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:54:58 +0000 2018,"RT @RGUq8esdv8Hclgt: #Dastak
#Reality_Of_Vedas
#संतरामपालजी महाराज शास्त्र प्रमाणित ज्ञान बताते हैं
ऐसा सत्यज्ञान इस पूरी पृथ्वी पर संतजी…"
62,@BBC,0.8126,0.0,0.714,0.286,Mon Apr 02 12:54:46 +0000 2018,"RT @spaceangel1964: Yes, there must be someone from the @BBC who can reveal the #BBCBias 
Please RT so we can find that courageous person.…"
63,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:54:20 +0000 2018,@Shelaco @BBC @Channel4 @SkyNews @CNN @ABC @IanPannell @itvnews @LBC 😂at the very least.
64,@BBC,-0.2144,0.101,0.835,0.064,Mon Apr 02 12:54:13 +0000 2018,"RT @BBC: The illegal wildlife trade is worth £18bn per year, but @wildliferescue are working to turn it around.

#BigCatsAboutTheHouse http…"
65,@BBC,-0.8613,0.36,0.64,0.0,Mon Apr 02 12:54:09 +0000 2018,"@Muqadaam @theresa_may If it;s from the @bbc then its BULLSHIT PROPAGANDA that should be ignored, there WILL be an… https://t.co/4jOZ5bllUB"
66,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:54:04 +0000 2018,"RT @AWAKEALERT: Max Keiser quit @BBC because he got strict orders 
""NOT TO MENTION #ISRAEL IN ANY CONTEXT""
""This kind of censorship leads t…"
67,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:54:01 +0000 2018,"RT @RGUq8esdv8Hclgt: #MadeForMore
#Reality_Of_Vedas
ऐसा सतगुरु हम मिला सुरत सिन्धु के मांही l
सब्द स्वरूपी अंग है पिंड प्राण बिन छांहीll
#S…"
68,@BBC,-0.4767,0.14,0.86,0.0,Mon Apr 02 12:53:30 +0000 2018,RT @ColleenHanson17: @Animal_Watch @WildlifeRescue @BBC These skins were PRICELESS to the animals that wore them. This makes me sad beyond…
69,@BBC,0.0,0.0,1.0,0.0,Mon Apr 02 12:53:23 +0000 2018,@joan_rollins @BBC @LanceWhitney6 👍🧀🇨🇭🧀🇨🇭🧀🇨🇭🧀🇨🇭🧀🇨🇭😂😉
70,@BBC,-0.4588,0.136,0.864,0.0,Mon Apr 02 12:53:23 +0000 2018,"Director of public prosecutions Alison Saunders to stand down

Unacceptable that she is permitted to do this and th… https://t.co/aWXsycRLfR"
71,@BBC,0.4019,0.0,0.87,0.13,Mon Apr 02 12:53:16 +0000 2018,@theSNP Time for @BBC producers to appear before cross party committees in @ScotParl and @UKParliament to answer to… https://t.co/bEOgTqHd18
72,@BBC,0.3802,0.0,0.607,0.393,Mon Apr 02 12:53:07 +0000 2018,@BBC keep it fair! https://t.co/ottelr3HEW
73,@BBC,-0.4404,0.132,0.868,0.0,Mon Apr 02 12:52:58 +0000 2018,"@Amy_Siskind I'll worry more about this when the GOP gov't starts kicking @BBC, @AJEnglish &amp; other foreign news ser… https://t.co/vpZNzLqwZ0"
